starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	1
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	0
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	1
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	0
Sun Mar 23 23:36:01 2014	1395614161	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:01 2014	1395614161	0	1	1	1
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	1
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	1
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	1
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:12 2014	1395614172	0	1	1	1
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	0
Sun Mar 23 23:35:55 2014	1395614155	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	0
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	1
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	1
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	1
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	1
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	1
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	1
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	1
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	1
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	1
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	1
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	1
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	0
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	0
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	0
Sun Mar 23 23:36:01 2014	1395614161	0	1	1	1
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	1
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	1
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	1
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	1
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:12 2014	1395614172	0	1	1	0
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	0
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	0
Sun Mar 23 23:36:01 2014	1395614161	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	1
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	1
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	1
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:35:58 2014	1395614158	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	1
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	1
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	1
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	1
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	1
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	1
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	1
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	1
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	1
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	1
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	1
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	1
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	1
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	1
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	1
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	1
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	1
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	1
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	1
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	1
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	1
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	1
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	0
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:12 2014	1395614172	0	1	1	0
Sun Mar 23 23:36:05 2014	1395614165	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:35:55 2014	1395614155	0	1	1	1
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	1
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	1
Sun Mar 23 23:35:55 2014	1395614155	0	1	1	1
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	1
Sun Mar 23 23:36:09 2014	1395614169	0	1	1	1
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	1
Sun Mar 23 23:35:58 2014	1395614158	0	1	1	1
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	1
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	1
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	1
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	1
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	1
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:35:57 2014	1395614157	0	1	1	1
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	1
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	0
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	0
Sun Mar 23 23:35:59 2014	1395614159	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:10 2014	1395614170	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	1
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	1
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	1
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:08 2014	1395614168	0	1	1	1
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	1
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	1
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:09 2014	1395614169	0	1	1	1
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	0
Sun Mar 23 23:36:02 2014	1395614162	0	1	1	0
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	0
Sun Mar 23 23:36:11 2014	1395614171	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:07 2014	1395614167	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:04 2014	1395614164	0	1	1	0
Sun Mar 23 23:36:14 2014	1395614174	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:12 2014	1395614172	0	1	1	0
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	0
Sun Mar 23 23:36:20 2014	1395614180	0	1	1	0
Sun Mar 23 23:36:13 2014	1395614173	0	1	1	0
Sun Mar 23 23:36:00 2014	1395614160	0	1	1	0
Sun Mar 23 23:35:56 2014	1395614156	0	1	1	0
Sun Mar 23 23:36:12 2014	1395614172	0	1	1	0
Sun Mar 23 23:36:17 2014	1395614177	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:06 2014	1395614166	0	1	1	0
Sun Mar 23 23:36:03 2014	1395614163	0	1	1	0
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:15 2014	1395614175	0	1	1	1
Sun Mar 23 23:36:16 2014	1395614176	0	1	1	1
Sun Mar 23 23:36:18 2014	1395614178	0	1	1	1
Sun Mar 23 23:36:09 2014	1395614169	0	1	1	1
Sun Mar 23 23:36:01 2014	1395614161	0	1	1	1
Sun Mar 23 23:36:19 2014	1395614179	0	1	1	1
